configuration,window,split,type,size,defects
1,3,12,test,157,16
1,3,12,test,214,142
1,3,12,test,314,37
1,3,12,test,222,60
1,3,12,test,745,166
1,3,12,test,51,10
1,3,12,test,237,141
1,3,12,test,241,16
1,3,13,tr,1244,1057
1,3,13,test,214,142
1,3,13,test,247,144
1,3,13,test,442,281
1,3,13,test,32,2
1,3,13,test,10,5
1,3,13,test,385,248
1,3,13,test,314,37
1,3,13,test,222,60
1,3,13,test,51,10
1,3,13,test,237,141
1,3,13,test,256,86
1,3,13,test,157,16
1,3,14,tr,3144,1395
1,3,14,test,10,5
1,3,14,test,340,203
1,3,14,test,229,78
1,3,14,test,222,60
1,3,14,test,256,86
1,3,15,tr,4314,1518
1,3,15,test,608,216
1,3,15,test,10,5
1,3,15,test,340,203
1,3,15,test,229,78
1,3,15,test,965,188
1,3,15,test,352,40
1,3,15,test,872,145
1,3,15,test,256,86
1,3,15,test,339,13
1,3,16,tr,4341,1487
1,3,16,test,608,216
1,3,16,test,340,203
1,3,16,test,229,78
1,3,16,test,965,188
1,3,16,test,352,40
1,3,16,test,872,145
1,3,16,test,339,13
1,3,17,tr,2567,1172
1,3,17,test,608,216
1,3,17,test,965,188
1,3,17,test,352,40
1,3,17,test,872,145
1,3,17,test,339,13
1,4,1,tr,162,77
1,4,1,test,205,189
1,4,1,test,723,110
1,4,1,test,109,37
1,4,1,test,135,34
1,4,1,test,453,69
1,4,1,test,588,437
1,4,2,tr,602,148
1,4,2,test,205,189
1,4,2,test,803,387
1,4,2,test,723,110
1,4,2,test,109,37
1,4,2,test,135,34
1,4,2,test,588,437
1,4,3,tr,1055,217
1,4,3,test,205,189
1,4,3,test,803,387
1,4,3,test,723,110
1,4,3,test,351,92
1,4,3,test,293,32
1,4,3,test,125,20
1,4,3,test,178,40
1,4,4,tr,1887,725
1,4,4,test,803,387
1,4,4,test,723,110
1,4,4,test,26,20
1,4,4,test,351,92
1,4,4,test,293,32
1,4,4,test,885,411
1,4,4,test,125,20
1,4,4,test,178,40
1,4,5,tr,1930,837
1,4,5,test,803,387
1,4,5,test,26,20
1,4,5,test,351,92
1,4,5,test,6,1
1,4,5,test,293,32
1,4,5,test,885,411
1,4,5,test,125,20
1,4,5,test,178,40
1,4,6,tr,2213,876
1,4,6,test,111,63
1,4,6,test,26,20
1,4,6,test,351,92
1,4,6,test,6,1
1,4,6,test,293,32
1,4,6,test,885,411
1,4,6,test,29,5
1,4,6,test,125,20
1,4,6,test,178,40
1,4,7,tr,2563,1194
1,4,7,test,111,63
1,4,7,test,26,20
1,4,7,test,6,1
1,4,7,test,885,411
1,4,7,test,29,5
1,4,7,test,909,898
1,4,8,tr,2678,870
1,4,8,test,111,63
1,4,8,test,6,1
1,4,8,test,195,91
1,4,8,test,29,5
1,4,8,test,909,898
1,4,9,tr,3384,1112
1,4,9,test,111,63
1,4,9,test,858,77
1,4,9,test,196,147
1,4,9,test,745,166
1,4,9,test,195,91
1,4,9,test,29,5
1,4,9,test,909,898
1,4,9,test,241,16
1,4,10,tr,2667,1003
1,4,10,test,247,144
1,4,10,test,442,281
1,4,10,test,32,2
1,4,10,test,858,77
1,4,10,test,196,147
1,4,10,test,385,248
1,4,10,test,909,898
1,4,10,test,157,16
1,4,10,test,214,142
1,4,10,test,314,37
1,4,10,test,745,166
1,4,10,test,195,91
1,4,10,test,51,10
1,4,10,test,237,141
1,4,10,test,241,16
1,4,11,tr,2004,684
1,4,11,test,247,144
1,4,11,test,442,281
1,4,11,test,32,2
1,4,11,test,858,77
1,4,11,test,196,147
1,4,11,test,385,248
1,4,11,test,157,16
1,4,11,test,214,142
1,4,11,test,314,37
1,4,11,test,222,60
1,4,11,test,745,166
1,4,11,test,195,91
1,4,11,test,51,10
1,4,11,test,237,141
1,4,11,test,241,16
1,4,12,tr,1966,1398
1,4,12,test,247,144
1,4,12,test,442,281
1,4,12,test,32,2
1,4,12,test,10,5
1,4,12,test,858,77
1,4,12,test,196,147
1,4,12,test,385,248
1,4,12,test,256,86
1,4,12,test,157,16
1,4,12,test,214,142
1,4,12,test,314,37
1,4,12,test,222,60
1,4,12,test,745,166
1,4,12,test,51,10
1,4,12,test,237,141
1,4,12,test,241,16
1,4,13,tr,1250,1058
1,4,13,test,247,144
1,4,13,test,442,281
1,4,13,test,32,2
1,4,13,test,10,5
1,4,13,test,340,203
1,4,13,test,229,78
1,4,13,test,385,248
1,4,13,test,256,86
1,4,13,test,157,16
1,4,13,test,214,142
1,4,13,test,314,37
1,4,13,test,222,60
1,4,13,test,51,10
1,4,13,test,237,141
1,4,14,tr,3284,1463
1,4,14,test,608,216
1,4,14,test,10,5
1,4,14,test,340,203
1,4,14,test,229,78
1,4,14,test,965,188
1,4,14,test,222,60
1,4,14,test,352,40
1,4,14,test,872,145
1,4,14,test,256,86
1,4,14,test,339,13
1,4,15,tr,5223,2416
1,4,15,test,608,216
1,4,15,test,10,5
1,4,15,test,340,203
1,4,15,test,229,78
1,4,15,test,965,188
1,4,15,test,352,40
1,4,15,test,872,145
1,4,15,test,256,86
1,4,15,test,339,13
1,4,16,tr,4536,1578
1,4,16,test,608,216
1,4,16,test,340,203
1,4,16,test,229,78
1,4,16,test,965,188
1,4,16,test,352,40
1,4,16,test,872,145
1,4,16,test,339,13
1,4,17,tr,4607,1578
1,4,17,test,608,216
1,4,17,test,965,188
1,4,17,test,352,40
1,4,17,test,872,145
1,4,17,test,339,13
1,5,1,tr,162,77
1,5,1,test,205,189
1,5,1,test,803,387
1,5,1,test,723,110
1,5,1,test,109,37
1,5,1,test,135,34
1,5,1,test,453,69
1,5,1,test,588,437
1,5,2,tr,602,148
1,5,2,test,205,189
1,5,2,test,803,387
1,5,2,test,723,110
1,5,2,test,109,37
1,5,2,test,135,34
1,5,2,test,588,437
1,5,2,test,351,92
1,5,2,test,293,32
1,5,2,test,125,20
1,5,2,test,178,40
1,5,3,tr,1055,217
1,5,3,test,205,189
1,5,3,test,803,387
1,5,3,test,723,110
1,5,3,test,26,20
1,5,3,test,351,92
1,5,3,test,293,32
1,5,3,test,885,411
1,5,3,test,125,20
1,5,3,test,178,40
1,5,4,tr,1887,725
1,5,4,test,803,387
1,5,4,test,723,110
1,5,4,test,26,20
1,5,4,test,351,92
1,5,4,test,6,1
1,5,4,test,293,32
1,5,4,test,885,411
1,5,4,test,125,20
1,5,4,test,178,40
1,5,5,tr,2092,914
1,5,5,test,803,387
1,5,5,test,111,63
1,5,5,test,26,20
1,5,5,test,351,92
1,5,5,test,6,1
1,5,5,test,293,32
1,5,5,test,885,411
1,5,5,test,29,5
1,5,5,test,125,20
1,5,5,test,178,40
1,5,6,tr,2653,947
1,5,6,test,111,63
1,5,6,test,26,20
1,5,6,test,351,92
1,5,6,test,6,1
1,5,6,test,293,32
1,5,6,test,885,411
1,5,6,test,29,5
1,5,6,test,125,20
1,5,6,test,178,40
1,5,6,test,909,898
1,5,7,tr,3016,1263
1,5,7,test,111,63
1,5,7,test,26,20
1,5,7,test,6,1
1,5,7,test,195,91
1,5,7,test,885,411
1,5,7,test,29,5
1,5,7,test,909,898
1,5,8,tr,3510,1378
1,5,8,test,111,63
1,5,8,test,858,77
1,5,8,test,196,147
1,5,8,test,6,1
1,5,8,test,745,166
1,5,8,test,195,91
1,5,8,test,29,5
1,5,8,test,909,898
1,5,8,test,241,16
1,5,9,tr,3589,1301
1,5,9,test,247,144
1,5,9,test,442,281
1,5,9,test,32,2
1,5,9,test,858,77
1,5,9,test,196,147
1,5,9,test,385,248
1,5,9,test,909,898
1,5,9,test,157,16
1,5,9,test,214,142
1,5,9,test,111,63
1,5,9,test,314,37
1,5,9,test,745,166
1,5,9,test,195,91
1,5,9,test,51,10
1,5,9,test,29,5
1,5,9,test,237,141
1,5,9,test,241,16
1,5,10,tr,3390,1113
1,5,10,test,247,144
1,5,10,test,442,281
1,5,10,test,32,2
1,5,10,test,858,77
1,5,10,test,196,147
1,5,10,test,385,248
1,5,10,test,909,898
1,5,10,test,157,16
1,5,10,test,214,142
1,5,10,test,314,37
1,5,10,test,222,60
1,5,10,test,745,166
1,5,10,test,195,91
1,5,10,test,51,10
1,5,10,test,237,141
1,5,10,test,241,16
1,5,11,tr,2807,1071
1,5,11,test,247,144
1,5,11,test,442,281
1,5,11,test,32,2
1,5,11,test,10,5
1,5,11,test,858,77
1,5,11,test,196,147
1,5,11,test,385,248
1,5,11,test,256,86
1,5,11,test,157,16
1,5,11,test,214,142
1,5,11,test,314,37
1,5,11,test,222,60
1,5,11,test,745,166
1,5,11,test,195,91
1,5,11,test,51,10
1,5,11,test,237,141
1,5,11,test,241,16
1,5,12,tr,2913,1582
1,5,12,test,247,144
1,5,12,test,442,281
1,5,12,test,32,2
1,5,12,test,10,5
1,5,12,test,340,203
1,5,12,test,229,78
1,5,12,test,858,77
1,5,12,test,196,147
1,5,12,test,385,248
1,5,12,test,256,86
1,5,12,test,157,16
1,5,12,test,214,142
1,5,12,test,314,37
1,5,12,test,222,60
1,5,12,test,745,166
1,5,12,test,51,10
1,5,12,test,237,141
1,5,12,test,241,16
1,5,13,tr,2161,1489
1,5,13,test,247,144
1,5,13,test,442,281
1,5,13,test,32,2
1,5,13,test,10,5
1,5,13,test,340,203
1,5,13,test,229,78
1,5,13,test,965,188
1,5,13,test,385,248
1,5,13,test,256,86
1,5,13,test,157,16
1,5,13,test,214,142
1,5,13,test,608,216
1,5,13,test,314,37
1,5,13,test,222,60
1,5,13,test,352,40
1,5,13,test,51,10
1,5,13,test,872,145
1,5,13,test,237,141
1,5,13,test,339,13
1,5,14,tr,3290,1464
1,5,14,test,608,216
1,5,14,test,10,5
1,5,14,test,340,203
1,5,14,test,229,78
1,5,14,test,965,188
1,5,14,test,222,60
1,5,14,test,352,40
1,5,14,test,872,145
1,5,14,test,256,86
1,5,14,test,339,13
1,5,15,tr,5363,2484
1,5,15,test,608,216
1,5,15,test,10,5
1,5,15,test,340,203
1,5,15,test,229,78
1,5,15,test,965,188
1,5,15,test,352,40
1,5,15,test,872,145
1,5,15,test,256,86
1,5,15,test,339,13
1,5,16,tr,5445,2476
1,5,16,test,608,216
1,5,16,test,340,203
1,5,16,test,229,78
1,5,16,test,965,188
1,5,16,test,352,40
1,5,16,test,872,145
1,5,16,test,339,13
1,5,17,tr,4802,1669
1,5,17,test,608,216
1,5,17,test,965,188
1,5,17,test,352,40
1,5,17,test,872,145
1,5,17,test,339,13
1,6,1,tr,162,77
1,6,1,test,205,189
1,6,1,test,803,387
1,6,1,test,723,110
1,6,1,test,109,37
1,6,1,test,135,34
1,6,1,test,453,69
1,6,1,test,588,437
1,6,1,test,351,92
1,6,1,test,293,32
1,6,1,test,125,20
1,6,1,test,178,40
1,6,2,tr,602,148
1,6,2,test,205,189
1,6,2,test,803,387
1,6,2,test,723,110
1,6,2,test,26,20
1,6,2,test,109,37
1,6,2,test,135,34
1,6,2,test,588,437
1,6,2,test,351,92
1,6,2,test,293,32
1,6,2,test,885,411
1,6,2,test,125,20
1,6,2,test,178,40
1,6,3,tr,1055,217
1,6,3,test,205,189
1,6,3,test,803,387
1,6,3,test,723,110
1,6,3,test,26,20
1,6,3,test,351,92
1,6,3,test,6,1
1,6,3,test,293,32
1,6,3,test,885,411
1,6,3,test,125,20
1,6,3,test,178,40
1,6,4,tr,1887,725
1,6,4,test,803,387
1,6,4,test,111,63
1,6,4,test,723,110
1,6,4,test,26,20
1,6,4,test,351,92
1,6,4,test,6,1
1,6,4,test,293,32
1,6,4,test,885,411
1,6,4,test,29,5
1,6,4,test,125,20
1,6,4,test,178,40
1,6,5,tr,2092,914
1,6,5,test,803,387
1,6,5,test,111,63
1,6,5,test,26,20
1,6,5,test,351,92
1,6,5,test,6,1
1,6,5,test,293,32
1,6,5,test,885,411
1,6,5,test,29,5
1,6,5,test,125,20
1,6,5,test,178,40
1,6,5,test,909,898
1,6,6,tr,2815,1024
1,6,6,test,111,63
1,6,6,test,26,20
1,6,6,test,351,92
1,6,6,test,6,1
1,6,6,test,293,32
1,6,6,test,195,91
1,6,6,test,885,411
1,6,6,test,29,5
1,6,6,test,125,20
1,6,6,test,178,40
1,6,6,test,909,898
1,6,7,tr,3456,1334
1,6,7,test,111,63
1,6,7,test,26,20
1,6,7,test,858,77
1,6,7,test,196,147
1,6,7,test,6,1
1,6,7,test,745,166
1,6,7,test,195,91
1,6,7,test,885,411
1,6,7,test,29,5
1,6,7,test,909,898
1,6,7,test,241,16
1,6,8,tr,3963,1447
1,6,8,test,247,144
1,6,8,test,442,281
1,6,8,test,32,2
1,6,8,test,858,77
1,6,8,test,196,147
1,6,8,test,385,248
1,6,8,test,6,1
1,6,8,test,909,898
1,6,8,test,157,16
1,6,8,test,214,142
1,6,8,test,111,63
1,6,8,test,314,37
1,6,8,test,745,166
1,6,8,test,195,91
1,6,8,test,51,10
1,6,8,test,29,5
1,6,8,test,237,141
1,6,8,test,241,16
1,6,9,tr,4421,1809
1,6,9,test,247,144
1,6,9,test,442,281
1,6,9,test,32,2
1,6,9,test,858,77
1,6,9,test,196,147
1,6,9,test,385,248
1,6,9,test,909,898
1,6,9,test,157,16
1,6,9,test,214,142
1,6,9,test,111,63
1,6,9,test,314,37
1,6,9,test,222,60
1,6,9,test,745,166
1,6,9,test,195,91
1,6,9,test,51,10
1,6,9,test,29,5
1,6,9,test,237,141
1,6,9,test,241,16
1,6,10,tr,3595,1302
1,6,10,test,247,144
1,6,10,test,442,281
1,6,10,test,32,2
1,6,10,test,10,5
1,6,10,test,858,77
1,6,10,test,196,147
1,6,10,test,385,248
1,6,10,test,256,86
1,6,10,test,909,898
1,6,10,test,157,16
1,6,10,test,214,142
1,6,10,test,314,37
1,6,10,test,222,60
1,6,10,test,745,166
1,6,10,test,195,91
1,6,10,test,51,10
1,6,10,test,237,141
1,6,10,test,241,16
1,6,11,tr,3530,1181
1,6,11,test,247,144
1,6,11,test,442,281
1,6,11,test,32,2
1,6,11,test,10,5
1,6,11,test,340,203
1,6,11,test,229,78
1,6,11,test,858,77
1,6,11,test,196,147
1,6,11,test,385,248
1,6,11,test,256,86
1,6,11,test,157,16
1,6,11,test,214,142
1,6,11,test,314,37
1,6,11,test,222,60
1,6,11,test,745,166
1,6,11,test,195,91
1,6,11,test,51,10
1,6,11,test,237,141
1,6,11,test,241,16
1,6,12,tr,3716,1969
1,6,12,test,247,144
1,6,12,test,442,281
1,6,12,test,32,2
1,6,12,test,10,5
1,6,12,test,340,203
1,6,12,test,229,78
1,6,12,test,965,188
1,6,12,test,858,77
1,6,12,test,196,147
1,6,12,test,385,248
1,6,12,test,256,86
1,6,12,test,157,16
1,6,12,test,214,142
1,6,12,test,608,216
1,6,12,test,314,37
1,6,12,test,222,60
1,6,12,test,352,40
1,6,12,test,745,166
1,6,12,test,51,10
1,6,12,test,872,145
1,6,12,test,237,141
1,6,12,test,241,16
1,6,12,test,339,13
1,6,13,tr,3108,1673
1,6,13,test,247,144
1,6,13,test,442,281
1,6,13,test,32,2
1,6,13,test,10,5
1,6,13,test,340,203
1,6,13,test,229,78
1,6,13,test,965,188
1,6,13,test,385,248
1,6,13,test,256,86
1,6,13,test,157,16
1,6,13,test,214,142
1,6,13,test,608,216
1,6,13,test,314,37
1,6,13,test,222,60
1,6,13,test,352,40
1,6,13,test,51,10
1,6,13,test,872,145
1,6,13,test,237,141
1,6,13,test,339,13
1,6,14,tr,4201,1895
1,6,14,test,608,216
1,6,14,test,10,5
1,6,14,test,340,203
1,6,14,test,229,78
1,6,14,test,965,188
1,6,14,test,222,60
1,6,14,test,352,40
1,6,14,test,872,145
1,6,14,test,256,86
1,6,14,test,339,13
1,6,15,tr,5369,2485
1,6,15,test,608,216
1,6,15,test,10,5
1,6,15,test,340,203
1,6,15,test,229,78
1,6,15,test,965,188
1,6,15,test,352,40
1,6,15,test,872,145
1,6,15,test,256,86
1,6,15,test,339,13
1,6,16,tr,5585,2544
1,6,16,test,608,216
1,6,16,test,340,203
1,6,16,test,229,78
1,6,16,test,965,188
1,6,16,test,352,40
1,6,16,test,872,145
1,6,16,test,339,13
1,6,17,tr,5711,2567
1,6,17,test,608,216
1,6,17,test,965,188
1,6,17,test,352,40
1,6,17,test,872,145
1,6,17,test,339,13
1,7,1,tr,162,77
1,7,1,test,205,189
1,7,1,test,723,110
1,7,1,test,26,20
1,7,1,test,135,34
1,7,1,test,588,437
1,7,1,test,351,92
1,7,1,test,178,40
1,7,1,test,803,387
1,7,1,test,109,37
1,7,1,test,453,69
1,7,1,test,293,32
1,7,1,test,885,411
1,7,1,test,125,20
1,7,2,tr,602,148
1,7,2,test,205,189
1,7,2,test,723,110
1,7,2,test,26,20
1,7,2,test,135,34
1,7,2,test,588,437
1,7,2,test,351,92
1,7,2,test,6,1
1,7,2,test,178,40
1,7,2,test,803,387
1,7,2,test,109,37
1,7,2,test,293,32
1,7,2,test,885,411
1,7,2,test,125,20
1,7,3,tr,1055,217
1,7,3,test,205,189
1,7,3,test,803,387
1,7,3,test,111,63
1,7,3,test,723,110
1,7,3,test,26,20
1,7,3,test,351,92
1,7,3,test,6,1
1,7,3,test,293,32
1,7,3,test,885,411
1,7,3,test,29,5
1,7,3,test,125,20
1,7,3,test,178,40
1,7,4,tr,1887,725
1,7,4,test,803,387
1,7,4,test,111,63
1,7,4,test,723,110
1,7,4,test,26,20
1,7,4,test,351,92
1,7,4,test,6,1
1,7,4,test,293,32
1,7,4,test,885,411
1,7,4,test,29,5
1,7,4,test,125,20
1,7,4,test,178,40
1,7,4,test,909,898
1,7,5,tr,2092,914
1,7,5,test,803,387
1,7,5,test,111,63
1,7,5,test,26,20
1,7,5,test,351,92
1,7,5,test,6,1
1,7,5,test,293,32
1,7,5,test,195,91
1,7,5,test,885,411
1,7,5,test,29,5
1,7,5,test,125,20
1,7,5,test,178,40
1,7,5,test,909,898
1,7,6,tr,2815,1024
1,7,6,test,26,20
1,7,6,test,858,77
1,7,6,test,196,147
1,7,6,test,351,92
1,7,6,test,6,1
1,7,6,test,178,40
1,7,6,test,909,898
1,7,6,test,111,63
1,7,6,test,745,166
1,7,6,test,293,32
1,7,6,test,195,91
1,7,6,test,885,411
1,7,6,test,29,5
1,7,6,test,125,20
1,7,6,test,241,16
1,7,7,tr,3618,1411
1,7,7,test,247,144
1,7,7,test,442,281
1,7,7,test,32,2
1,7,7,test,26,20
1,7,7,test,858,77
1,7,7,test,196,147
1,7,7,test,385,248
1,7,7,test,6,1
1,7,7,test,909,898
1,7,7,test,157,16
1,7,7,test,214,142
1,7,7,test,111,63
1,7,7,test,314,37
1,7,7,test,745,166
1,7,7,test,195,91
1,7,7,test,51,10
1,7,7,test,885,411
1,7,7,test,29,5
1,7,7,test,237,141
1,7,7,test,241,16
1,7,8,tr,4403,1518
1,7,8,test,247,144
1,7,8,test,442,281
1,7,8,test,32,2
1,7,8,test,858,77
1,7,8,test,196,147
1,7,8,test,385,248
1,7,8,test,6,1
1,7,8,test,909,898
1,7,8,test,157,16
1,7,8,test,214,142
1,7,8,test,111,63
1,7,8,test,314,37
1,7,8,test,222,60
1,7,8,test,745,166
1,7,8,test,195,91
1,7,8,test,51,10
1,7,8,test,29,5
1,7,8,test,237,141
1,7,8,test,241,16
1,7,9,tr,4874,1878
1,7,9,test,247,144
1,7,9,test,442,281
1,7,9,test,32,2
1,7,9,test,10,5
1,7,9,test,858,77
1,7,9,test,196,147
1,7,9,test,385,248
1,7,9,test,256,86
1,7,9,test,909,898
1,7,9,test,157,16
1,7,9,test,214,142
1,7,9,test,111,63
1,7,9,test,314,37
1,7,9,test,222,60
1,7,9,test,745,166
1,7,9,test,195,91
1,7,9,test,51,10
1,7,9,test,29,5
1,7,9,test,237,141
1,7,9,test,241,16
1,7,10,tr,4427,1810
1,7,10,test,247,144
1,7,10,test,442,281
1,7,10,test,32,2
1,7,10,test,10,5
1,7,10,test,340,203
1,7,10,test,229,78
1,7,10,test,858,77
1,7,10,test,196,147
1,7,10,test,385,248
1,7,10,test,256,86
1,7,10,test,909,898
1,7,10,test,157,16
1,7,10,test,214,142
1,7,10,test,314,37
1,7,10,test,222,60
1,7,10,test,745,166
1,7,10,test,195,91
1,7,10,test,51,10
1,7,10,test,237,141
1,7,10,test,241,16
1,7,11,tr,3735,1370
1,7,11,test,247,144
1,7,11,test,442,281
1,7,11,test,32,2
1,7,11,test,10,5
1,7,11,test,340,203
1,7,11,test,229,78
1,7,11,test,965,188
1,7,11,test,858,77
1,7,11,test,196,147
1,7,11,test,385,248
1,7,11,test,256,86
1,7,11,test,157,16
1,7,11,test,214,142
1,7,11,test,608,216
1,7,11,test,314,37
1,7,11,test,222,60
1,7,11,test,352,40
1,7,11,test,745,166
1,7,11,test,195,91
1,7,11,test,51,10
1,7,11,test,872,145
1,7,11,test,237,141
1,7,11,test,241,16
1,7,11,test,339,13
1,7,12,tr,4439,2079
1,7,12,test,247,144
1,7,12,test,442,281
1,7,12,test,32,2
1,7,12,test,10,5
1,7,12,test,340,203
1,7,12,test,229,78
1,7,12,test,965,188
1,7,12,test,858,77
1,7,12,test,196,147
1,7,12,test,385,248
1,7,12,test,256,86
1,7,12,test,157,16
1,7,12,test,214,142
1,7,12,test,608,216
1,7,12,test,314,37
1,7,12,test,222,60
1,7,12,test,352,40
1,7,12,test,745,166
1,7,12,test,51,10
1,7,12,test,872,145
1,7,12,test,237,141
1,7,12,test,241,16
1,7,12,test,339,13
1,7,13,tr,3911,2060
1,7,13,test,247,144
1,7,13,test,442,281
1,7,13,test,32,2
1,7,13,test,10,5
1,7,13,test,340,203
1,7,13,test,229,78
1,7,13,test,965,188
1,7,13,test,385,248
1,7,13,test,256,86
1,7,13,test,157,16
1,7,13,test,214,142
1,7,13,test,608,216
1,7,13,test,314,37
1,7,13,test,222,60
1,7,13,test,352,40
1,7,13,test,51,10
1,7,13,test,872,145
1,7,13,test,237,141
1,7,13,test,339,13
