name,version,name,wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,max_cc,avg_cc,bug
ant,1.5,org.apache.tools.ant.taskdefs.ExecTask,27,3,1,19,80,249,4,15,18,0.869230769,607,1,2,0.587301587,0.166666667,0,0,20.92592593,3,1.1481,1
ant,1.5,org.apache.tools.ant.taskdefs.XSLTProcess,26,4,0,18,89,219,1,18,18,0.896842105,881,1,4,0.757281553,0.221153846,3,4,32.15384615,3,1.1538,1
ant,1.5,org.apache.tools.ant.types.ZipFileSet,11,5,0,13,30,5,4,9,9,0.65,168,1,0,0.91,0.327272727,2,10,13.90909091,3,1.2727,1
ant,1.5,org.apache.tools.ant.taskdefs.Ant,19,3,0,16,117,35,1,15,11,0.823232323,849,0.909090909,1,0.672727273,0.305263158,2,3,43.10526316,12,2.2105,1
ant,1.5,org.apache.tools.ant.taskdefs.SQLExec,18,4,0,13,90,87,1,13,14,0.849264706,778,1,0,0.782051282,0.188888889,4,4,41.33333333,1,0.9444,1
ant,1.5,org.apache.tools.ant.types.XMLCatalog,21,3,0,10,82,184,1,9,10,0.683333333,719,1,2,0.6,0.226190476,1,3,33.0952381,4,1.9048,1
ant,1.5,org.apache.tools.ant.Main,19,1,0,12,103,133,1,12,3,0.81372549,1720,0.882352941,0,0,0.141414141,0,0,88.63157895,11,2.5263,1
ant,1.5,org.apache.tools.ant.taskdefs.ProcessDestroyer,5,2,0,1,20,0,1,0,4,0.75,106,0.333333333,0,0.921568627,0.466666667,0,0,19.6,2,1,1
ant,1.5,org.apache.tools.ant.taskdefs.PumpStreamHandler,13,1,2,9,20,46,7,2,8,0.666666667,111,1,0,0,0.615384615,0,0,7.230769231,1,0.7692,1
ant,1.5,org.apache.tools.ant.taskdefs.ExecuteJava,10,1,0,10,47,11,1,9,10,0.75,329,1,3,0,0.2125,0,0,31.1,6,1.5,1
ant,1.5,org.apache.tools.ant.util.FileUtils,29,1,0,28,120,396,25,6,25,0.928571429,1348,0.8,0,0,0.278571429,0,0,45.31034483,29,2.6207,1
ant,1.5,org.apache.tools.ant.taskdefs.AbstractCvsTask,40,3,1,17,99,664,2,15,31,0.918192918,855,0.952380952,2,0.486842105,0.194444444,0,0,19.85,8,1.6,1
ant,1.5,org.apache.tools.ant.XmlLogger,15,1,0,12,69,39,0,12,12,0.932539683,614,1,1,0,0.342857143,0,0,38.73333333,10,2.7333,1
ant,1.5,org.apache.tools.ant.taskdefs.Execute,24,1,0,31,85,218,12,20,18,0.776811594,708,0.933333333,6,0,0.138339921,0,0,27.875,7,1.75,1
ant,1.5,org.apache.tools.ant.ExitException,2,5,0,1,7,0,1,0,2,0,20,1,0,0.928571429,0.75,0,0,8.5,1,0.5,1
ant,1.5,org.apache.tools.ant.taskdefs.Expand,9,3,1,11,53,16,1,10,7,0.75,457,1,0,0.822222222,0.271604938,2,2,49.22222222,5,1.3333,1
ant,1.5,org.apache.tools.ant.taskdefs.Replace,22,4,0,9,92,129,2,9,16,0.84981685,837,1,3,0.787878788,0.309090909,2,2,36.45454545,5,1.2273,1
ant,1.5,org.apache.tools.ant.taskdefs.Input,6,3,0,8,19,0,0,8,6,0.533333333,88,1,0,0.880952381,0.833333333,0,0,13.16666667,1,0.8333,1
ant,1.5,org.apache.tools.ant.taskdefs.Copydir,8,4,0,7,37,4,0,7,7,0.714285714,277,1,0,0.917647059,0.46875,4,4,32.875,5,1.375,0
ant,1.5,org.apache.tools.ant.taskdefs.LoadProperties,4,3,0,8,39,0,0,8,4,0.333333333,200,1,0,0.925,0.5,1,1,48.5,1,0.75,0
ant,1.5,org.apache.tools.ant.taskdefs.cvslib.ChangeLogTask,15,3,0,16,77,69,0,16,10,0.826530612,504,1,0,0.725490196,0.233333333,1,1,32.13333333,6,1.4,0
ant,1.5,org.apache.tools.tar.TarOutputStream,15,3,0,3,37,41,1,2,14,0.696428571,437,0.75,1,0.454545455,0.311111111,1,2,27.33333333,1,0.8,0
ant,1.5,org.apache.tools.ant.types.Parameterizable,1,1,0,5,1,0,4,1,1,2,1,0,0,0,1,0,0,0,1,1,0
ant,1.5,org.apache.tools.ant.taskdefs.SignJar,18,3,0,10,56,119,0,10,15,0.882352941,460,1,0,0.685185185,0.377777778,0,0,23.83333333,13,2,0
ant,1.5,org.apache.tools.ant.taskdefs.condition.And,2,3,0,3,7,1,1,3,2,2,23,0,0,0.96969697,1,0,0,10.5,1,0.5,0
ant,1.5,org.apache.tools.ant.BuildLogger,4,1,0,5,4,6,4,1,4,2,4,0,0,0,0.5,0,0,0,1,1,0
ant,1.5,org.apache.tools.ant.taskdefs.ExecuteOn,16,4,2,19,56,48,2,17,10,0.745454545,757,1,4,0.836956522,0.19375,3,7,45.625,14,2.5,0
ant,1.5,org.apache.tools.ant.taskdefs.Echo,7,3,0,7,21,0,0,7,7,0.625,144,1,0,0.860465116,0.342857143,1,1,19,5,1.4286,0
ant,1.5,org.apache.tools.ant.taskdefs.ExecuteStreamHandler,5,1,0,11,5,10,11,0,5,2,5,0,0,0,0.533333333,0,0,0,1,1,0
ant,1.5,org.apache.tools.ant.taskdefs.Parallel,3,3,0,6,21,0,1,6,3,0,146,1,0,0.948717949,0.666666667,0,0,47.33333333,1,0.6667,0
ant,1.5,org.apache.tools.ant.TaskContainer,1,1,0,9,1,0,8,1,1,2,1,0,0,0,1,0,0,0,1,1,0
ant,1.5,org.apache.tools.ant.filters.StripLineBreaks,7,5,0,5,17,0,1,4,5,0.777777778,107,1,0,0.848484848,0.476190476,2,5,13.85714286,5,1.2857,0
ant,1.5,org.apache.tools.ant.types.Environment,3,1,1,7,9,0,5,2,3,0,47,1,0,0,0.666666667,0,0,14.33333333,1,0.6667,0
ant,1.5,org.apache.tools.ant.taskdefs.DependSet,6,4,0,10,33,0,0,10,6,0.6,511,1,0,0.939759036,0.555555556,1,1,83.5,1,0.8333,0
ant,1.5,org.apache.tools.ant.types.selectors.ExtendSelector,10,4,0,16,36,3,4,12,10,0.583333333,246,1,2,0.795454545,0.266666667,1,3,23.2,7,2.3,0
ant,1.5,org.apache.tools.ant.taskdefs.Available,20,3,0,14,67,130,1,13,16,0.846889952,812,1,4,0.660714286,0.25,1,1,39.05,25,3.05,0
ant,1.5,org.apache.tools.ant.types.selectors.FileSelector,1,1,0,15,1,0,14,1,1,2,1,0,0,0,1,0,0,0,1,1,0
ant,1.5,org.apache.tools.ant.types.Path,28,3,0,44,96,286,32,13,22,0.592592593,1047,0.5,1,0.545454545,0.126984127,2,5,36.32142857,15,2.5357,0
ant,1.5,org.apache.tools.ant.filters.StripLineComments,8,5,0,6,26,0,1,5,5,0.571428571,164,1,0,0.823529412,0.375,2,5,19.125,4,1.125,0
ant,1.5,org.apache.tools.ant.taskdefs.Sequential,4,3,0,6,16,0,0,6,4,0.333333333,46,1,0,0.925,0.625,1,1,10.25,1,0.75,0
ant,1.5,org.apache.tools.ant.util.TaskLogger,6,1,0,1,8,0,0,1,6,0,43,1,1,0,0.666666667,0,0,6,1,0.8333,0
ant,1.5,org.apache.tools.ant.taskdefs.compilers.Gcj,3,2,0,9,26,3,1,8,2,2,147,0,0,0.92,1,1,1,48,10,3.6667,0
ant,1.5,org.apache.tools.ant.types.selectors.FilenameSelector,8,5,0,9,23,0,4,5,8,0.761904762,198,0.5,0,0.844444444,0.35,1,4,23,6,2.25,0
ant,1.5,org.apache.tools.ant.taskdefs.GUnzip,3,4,0,4,20,3,0,4,1,1.5,124,1,0,0.960784314,1,2,3,40,8,3,0
ant,1.5,org.apache.tools.ant.types.selectors.SelectorScanner,3,1,0,3,3,3,2,1,3,2,3,0,0,0,0.666666667,0,0,0,1,1,0
ant,1.5,org.apache.tools.ant.util.KeepAliveOutputStream,2,3,0,0,3,1,0,0,2,2,7,0,0,0.909090909,0.75,1,1,2.5,1,0.5,0
ant,1.5,org.apache.tools.ant.PathTokenizer,3,1,0,3,17,0,2,1,3,0.25,196,1,0,0,0.666666667,0,0,63,2,1,0
ant,1.5,org.apache.tools.ant.taskdefs.Definer,15,3,2,10,47,73,2,8,12,0.865079365,452,1,1,0.725490196,0.225,1,1,28.53333333,12,1.8,0
